word	diem
complex culture	0.02247979922234146
seeking a facinating	0.025847907336514375
facinating glimpse	0.025847907336514375
Activities Benin	0.04029061502017968
perfect destination	0.0840001876394302
Park	0.08968203894192707
Pendjari Park	0.09130625147367082
organised tourist programs	0.09263988237099244
Activities	0.13850532983746275
culture	0.13850532983746275
Benin	0.13981466766810166
Pendjari	0.1554880963605839
destination	0.15873445514493556
seeking	0.15873445514493556
facinating	0.15873445514493556
glimpse	0.15873445514493556
complex	0.15873445514493556
perfect	0.16272655805884187
programs are concerned	0.1652953418262125
pretty light-on	0.1652953418262125
